RedFighter,BlueFighter,RedFighter_KD,BlueFighter_KD,RedFighter_STR,BlueFighter_STR,RedFighter_TD,BlueFighter_TD,RedFighter_SUB,BlueFighter_SUB,Event,Date,Location,WL,Winner,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus
Tom Aspinall,Ciryl Gane,0,0,27,30,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",NCNC,Tom Aspinall,CNC,CNC,1,4:35,Heavyweight,1.0,0.0,0.0,0.0,0.0
Virna Jandiroba,Mackenzie Dern,0,0,106,118,9,2,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mackenzie Dern,U-DEC,U-DEC,5,5:00,Women's Strawweight,1.0,0.0,0.0,0.0,0.0
Mario Bautista,Umar Nurmagomedov,1,0,20,32,0,11,1,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Umar Nurmagomedov,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Alexander Volkov,Jailton Almeida,0,0,24,9,0,7,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Alexander Volkov,S-DEC,S-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0
Azamat Murzakanov,Aleksandar Rakic,1,0,3,9,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Azamat Murzakanov,KO/TKOPunch,KO/TKOPunch,1,3:11,Light Heavyweight,0.0,0.0,0.0,0.0,0.0
Nasrat Haqparast,Quillan Salkilld,0,1,10,14,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Quillan Salkilld,KO/TKOKick,KO/TKOKick,1,2:30,Lightweight,0.0,0.0,1.0,0.0,0.0
Ikram Aliskerov,JunYong Park,0,0,91,78,5,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Ikram Aliskerov,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Ludovit Klein,Mateusz Rebecki,0,0,82,72,0,3,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Ludovit Klein,M-DEC,M-DEC,3,5:00,Lightweight,0.0,1.0,0.0,0.0,0.0
Valter Walker,Louie Sutherland,0,0,5,3,1,0,1,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Valter Walker,SUBHeel,SUBHeel Hook,1,1:24,Heavyweight,0.0,0.0,1.0,0.0,0.0
Nathaniel Wood,Jose Delgado,1,1,99,134,2,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Nathaniel Wood,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0
Hamdy Abdelwahab,Chris Barnett,0,0,99,18,9,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Hamdy Abdelwahab,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0
Azat Maksum,Mitch Raposo,0,0,19,30,7,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mitch Raposo,U-DEC,U-DEC,3,5:00,Flyweight,0.0,0.0,0.0,0.0,0.0
Jaqueline Amorim,Mizuki,0,1,26,62,2,2,1,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mizuki,U-DEC,U-DEC,3,5:00,Women's Strawweight,0.0,0.0,0.0,0.0,0.0
Reinier de Ridder,Brendan Allen,0,0,9,22,3,1,1,1,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Brendan Allen,KO/TKO,KO/TKO,4,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0
Kevin Holland,Mike Malott,0,0,52,49,1,1,0,1,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Mike Malott,U-DEC,U-DEC,3,5:00,Welterweight,0.0,0.0,0.0,0.0,0.0
Marlon Vera,Aiemann Zahabi,1,0,56,81,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Aiemann Zahabi,S-DEC,S-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0
Manon Fiorot,Jasmine Jasudavicius,0,0,16,2,0,0,0,0,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Manon Fiorot,KO/TKOPunches,KO/TKOPunches,1,1:14,Women's Flyweight,0.0,0.0,0.0,0.0,0.0
Davey Grant,Charles Jourdain,0,1,9,25,0,0,0,1,UFC Fight Night: De Ridder vs. Allen,"October 18, 2025","Vancouver, British Columbia, Canada",WIN,Charles Jourdain,SUBGuillotine,SUBGuillotine Choke,1,3:05,Bantamweight,0.0,0.0,1.0,0.0,0.0
