RedFighter,BlueFighter,RedFighter_KD,BlueFighter_KD,RedFighter_STR,BlueFighter_STR,RedFighter_TD,BlueFighter_TD,RedFighter_SUB,BlueFighter_SUB,Event,Date,Location,WL,Winner,Victory_Result,Victory_Method,Round,Time,Weight_Class,Title,Fight_Bonus,Perf_Bonus,Sub_Bonus,KO_Bonus,Red_reach_cm,Red_stance,Red_dob,Red_ss_landed_per_minute,Red_ss_accuracy,Red_ss_absorbed_per_min,Red_ss_defence,Red_avg_td_per_15,Red_td_accuracy,Red_td_defence,Red_avg_sub_attempt_per_15,Blue_reach_cm,Blue_stance,Blue_dob,Blue_ss_landed_per_minute,Blue_ss_accuracy,Blue_ss_absorbed_per_min,Blue_ss_defence,Blue_avg_td_per_15,Blue_td_accuracy,Blue_td_defence,Blue_avg_sub_attempt_per_15
Tom Aspinall,Ciryl Gane,0,0,27,30,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",NCNC,Tom Aspinall,CNC,CNC,1,4:35,Heavyweight,1.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1993-04-11,7.63,67.0,3.62,56.0,2.62,80.0,100.0,7.63,205.74,Orthodox,1990-04-12,5.29,61.0,2.33,60.0,0.68,25.0,47.0,5.29
Mackenzie Dern,Virna Jandiroba,0,0,118,106,2,9,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Mackenzie Dern,U-DEC,U-DEC,5,5:00,Women's Strawweight,1.0,0.0,0.0,0.0,0.0,160.02,Orthodox,1993-03-24,3.47,41.0,3.93,51.0,0.93,18.0,37.0,3.47,162.56,Orthodox,1988-05-30,2.33,41.0,2.9,55.0,2.85,37.0,74.0,2.33
Mario Bautista,Umar Nurmagomedov,1,0,20,32,0,11,1,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Umar Nurmagomedov,U-DEC,U-DEC,3,5:00,Bantamweight,0.0,0.0,0.0,0.0,0.0,175.26,Switch,1993-07-01,5.58,48.0,4.19,55.0,1.48,32.0,54.0,5.58,175.26,Orthodox,1996-01-03,4.08,57.0,2.04,60.0,4.3,47.0,79.0,4.08
Jailton Almeida,Alexander Volkov,0,0,9,24,7,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Alexander Volkov,S-DEC,S-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0,200.66,Orthodox,1991-06-26,2.25,66.0,1.02,35.0,6.66,62.0,60.0,2.25,203.2,Orthodox,1988-10-24,4.78,57.0,2.86,53.0,0.57,66.0,68.0,4.78
Aleksandar Rakic,Azamat Murzakanov,0,1,9,3,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Azamat Murzakanov,KO/TKOPunch,KO/TKOPunch,1,3:11,Light Heavyweight,0.0,0.0,0.0,0.0,0.0,198.12,Orthodox,1992-02-06,4.13,50.0,2.86,51.0,0.64,21.0,85.0,4.13,180.34,Southpaw,1989-04-12,4.7,57.0,2.86,60.0,0.55,15.0,87.0,4.7
Nasrat Haqparast,Quillan Salkilld,0,1,10,14,0,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Quillan Salkilld,KO/TKOKick,KO/TKOKick,1,2:30,Lightweight,0.0,0.0,1.0,0.0,0.0,182.88,Southpaw,1995-08-22,6.36,45.0,6.0,63.0,0.34,20.0,86.0,6.36,190.5,Orthodox,1999-12-28,5.49,57.0,3.5,43.0,7.77,34.0,100.0,5.49
Ikram Aliskerov,JunYong Park,0,0,91,78,5,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Ikram Aliskerov,U-DEC,U-DEC,3,5:00,Middleweight,0.0,0.0,0.0,0.0,0.0,193.04,Southpaw,1992-12-07,6.86,64.0,5.47,41.0,3.2,60.0,100.0,6.86,185.42,Orthodox,1991-02-27,4.64,51.0,3.82,51.0,1.69,42.0,54.0,4.64
Mateusz Rebecki,Ludovit Klein,0,0,72,82,3,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Ludovit Klein,M-DEC,M-DEC,3,5:00,Lightweight,0.0,1.0,0.0,0.0,0.0,167.64,Southpaw,1992-10-03,5.21,46.0,4.69,53.0,3.38,52.0,50.0,5.21,182.88,Southpaw,1995-02-22,3.76,53.0,3.48,53.0,1.37,51.0,76.0,3.76
Louie Sutherland,Valter Walker,0,0,3,5,0,1,0,1,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Valter Walker,SUBHeel,SUBHeel Hook,1,1:24,Heavyweight,0.0,0.0,1.0,0.0,0.0,193.04,Orthodox,1994-02-08,2.14,60.0,3.57,0.0,0.0,0.0,0.0,2.14,198.12,Orthodox,1997-12-14,2.0,52.0,2.85,42.0,5.74,69.0,0.0,2.0
Nathaniel Wood,Jose Delgado,1,1,99,134,2,0,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Nathaniel Wood,U-DEC,U-DEC,3,5:00,Featherweight,0.0,0.0,0.0,0.0,0.0,175.26,Orthodox,1993-05-08,5.74,52.0,4.32,54.0,1.46,50.0,73.0,5.74,187.96,Switch,1998-04-21,8.22,54.0,5.44,47.0,1.81,42.0,60.0,8.22
Chris Barnett,Hamdy Abdelwahab,0,0,18,99,0,9,0,0,UFC 321: Aspinall vs. Gane,"October 25, 2025","Abu Dhabi, Abu Dhabi, United Arab Emirates",WIN,Hamdy Abdelwahab,U-DEC,U-DEC,3,5:00,Heavyweight,0.0,0.0,0.0,0.0,0.0,190.5,Orthodox,1986-06-14,3.36,47.0,6.55,36.0,0.0,0.0,35.0,3.36,182.88,Southpaw,1993-01-22,4.27,55.0,3.67,51.0,3.25,65.0,100.0,4.27
