name,nickname,wins,losses,draws,height_cm,weight_kg,reach_cm,stance,dob,ss_landed_per_minute,ss_accuracy,ss_absorbed_per_min,ss_defence,avg_td_per_15,td_accuracy,td_defence,avg_sub_attempt_per_15
Phil Rowe,The Fresh Prince,11,5,0,190.5,77.11,203.2,Orthodox,1990-07-18,3.99,49.0,4.38,53.0,0.6,36.0,56.0,3.99
Naoki Matsushita,,12,16,11,167.64,70.31,,Orthodox,1976-03-31,3.3,32.0,2.2,63.0,1.5,100.0,0.0,3.3
Katsuyori Shibata,,4,11,1,182.88,76.2,,Orthodox,1979-11-17,2.06,35.0,2.4,53.0,0.49,50.0,53.0,2.06
Jeremy Kimball,,15,8,0,182.88,92.99,182.88,Switch,1991-01-03,2.81,46.0,3.84,49.0,1.41,20.0,50.0,2.81
Rob McCullough,Razor,19,8,0,175.26,70.31,175.26,Orthodox,1977-05-26,2.47,36.0,2.84,59.0,0.46,100.0,68.0,2.47
Trent Miller,The Terminator,8,3,0,175.26,83.91,182.88,Orthodox,1995-10-31,2.11,20.0,11.23,48.0,0.0,0.0,0.0,2.11
Don'Tale Mayes,Lord Kong,11,9,0,198.12,117.93,205.74,Orthodox,1992-01-16,3.22,43.0,3.61,46.0,0.59,38.0,46.0,3.22
Josiane Nunes,Josi,10,4,0,157.48,61.23,170.18,Southpaw,1993-12-23,5.65,43.0,5.76,51.0,0.0,0.0,58.0,5.65
Albert Tadevosyan,Albeezy,13,3,1,,77.11,,DOB:,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Jones,,0,1,0,210.82,156.49,,Orthodox,1970-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vanessa Melo,,11,8,0,165.1,61.23,165.1,Orthodox,1988-03-27,3.48,30.0,6.13,59.0,0.0,0.0,71.0,3.48
Cory Walmsley,Hardcore,8,2,0,182.88,92.99,,Orthodox,,0.79,100.0,1.18,50.0,0.0,0.0,0.0,0.79
Nate Loughran,,11,2,0,187.96,83.91,,Orthodox,1980-07-28,1.81,40.0,4.11,59.0,0.0,0.0,0.0,1.81
Yushin Okami,Thunder,34,12,0,187.96,77.11,190.5,Southpaw,1981-07-21,2.06,38.0,2.25,60.0,1.98,39.0,84.0,2.06
Ray Wizard,,0,1,0,,,,DOB:,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJ Matthews,,8,7,0,180.34,83.91,,DOB:,,5.11,52.0,4.96,51.0,0.0,0.0,100.0,5.11
Cody Carrillo,,11,16,0,177.8,70.31,,DOB:,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Radev,,23,5,0,170.18,83.91,,Southpaw,1976-09-28,1.35,23.0,2.38,66.0,0.0,0.0,80.0,1.35
Leonardo Morales,Chimy,6,2,0,172.72,61.23,,Southpaw,1992-12-22,2.05,47.0,2.05,58.0,0.0,0.0,62.0,2.05
Chad George,Savage,16,8,0,167.64,61.23,172.72,Southpaw,1982-04-30,1.26,50.0,1.11,65.0,3.08,46.0,0.0,1.26
Brendson Ribeiro,The Gorilla,17,9,0,190.5,92.99,205.74,Orthodox,1996-09-08,3.06,42.0,4.0,53.0,0.9,42.0,18.0,3.06
Daniel Spohn,Dragon,15,6,0,193.04,92.99,200.66,Southpaw,1984-10-12,2.42,49.0,1.6,53.0,0.0,0.0,28.0,2.42
Khama Worthy,The Death Star,16,9,0,180.34,70.31,187.96,Orthodox,1986-10-15,4.18,48.0,4.45,46.0,0.0,0.0,57.0,4.18
Chase Gormley,,14,6,0,190.5,120.2,,Orthodox,1983-08-11,3.6,42.0,6.03,44.0,3.12,42.0,0.0,3.6
James Barnes,Mooka,14,5,0,172.72,61.23,180.34,Orthodox,1982-05-28,0.57,34.0,3.02,39.0,1.08,16.0,40.0,0.57
